,titles,released,developers,publishers,genres
287,Battlefield 1942,2002,Digital Illusions CE,EA Games,"Shooter, Simulator"
288,Battlefield 1942: Secret Weapons of WWII,2003,Digital Illusions CE,EA Games,"Shooter, Simulator"
289,Battlefield 1942: The Road to Rome,2003,Digital Illusions CE,EA Games,"Shooter, Simulator"
290,Battlefield 1943,2009,EA Digital Illusions CE,Electronic Arts,Shooter
291,Battlefield 2,2005,Digital Illusions CE,EA Games,Shooter
292,Battlefield 3,2011,Digital Illusions CE,EA Games,Shooter
293,Battlefield 4,2013,EA DICE,Electronic Arts,Shooter
294,Battlefield 2142,2006,Digital Illusions CE,Electronic Arts,Shooter
295,Battlefield Heroes,2009,EA Digital Illusions CE,Electronic Arts,Shooter
296,Battlefield Online,2009,"Neowiz Games, Electronic Arts, EA Digital Illusions CE",Electronic Arts,Shooter
297,Battlefield V,2018,EA DICE,Electronic Arts,Shooter
298,Battlefield Vietnam,2004,Digital Illusions,Electronic Arts,"Shooter, Simulator, Strategy, Adventure"
299,Battlefield: Bad Company 2,2010,EA Digital Illusions CE,Electronic Arts,Shooter
300,BattleForge,2009,EA Phenomic,Electronic Arts,"Real Time Strategy (RTS), Strategy, Turn-based strategy (TBS)"
301,Battleground 2: Gettysburg,1995,TalonSoft,TalonSoft,Strategy
302,Battleground 3: Waterloo,1996,TalonSoft,TalonSoft,"Strategy, Turn-based strategy (TBS)"
303,Battleground 4: Shiloh,1996,TalonSoft,TalonSoft,"Real Time Strategy (RTS), Strategy"
304,Battleground 5: Antietam,1996,TalonSoft,TalonSoft,"Real Time Strategy (RTS), Strategy"
305,Battleground 6: Napoleon in Russia,1997,TalonSoft,TalonSoft,Strategy
306,Battleground 7: Bull Run,1997,TalonSoft,TalonSoft,Strategy
307,Battleground 8: Prelude to Waterloo,1997,TalonSoft,TalonSoft,Strategy
308,Battleground 9: Chickamauga,1998,TalonSoft,TalonSoft,Strategy
309,Battlestations: Midway,2007,Eidos Interactive,Eidos Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
310,Battlestations: Pacific,2009,Eidos Hungary,Eidos Interactive,"Real Time Strategy (RTS), Simulator, Strategy, Tactical"
311,Battlezone,1998,Activision,Activision,"Real Time Strategy (RTS), Strategy"
312,Battlezone II: Combat Commander,1999,Pandemic Studios,Activision,"Shooter, Strategy"
313,Beach Head 2000,2000,Digital Fusion,"WizardWorks, Infogrames","Shooter, Simulator"
