,titles,released,developers,publishers,genres
3278,Super Bubble Pop,2002,Zombie Studios,Jaleco,"Puzzle, Strategy"
3280,Super Cosplay War Ultra,2004,Team FK,Team FK,Fighting
3281,Super Luckys Tale,2017,Playful,Microsoft Studios,Adventure
3282,Super Meat Boy,2010,Team Meat,Team Meat,"Platform, Adventure, Indie"
3283,Super Puzzle Bobble,2000,Taito,"Acclaim Entertainment, Taito Corporation",Puzzle
3284,Super Puzzle Fighter II Turbo,2007,Capcom,Capcom,"Fighting, Puzzle, Strategy"
3285,Supercar Street Challenge,2001,Exakt Entertainment,Activision,Racing
3286,SuperPower 2,2004,GolemLabs,DreamCatcher Interactive,"Simulator, Strategy"
3287,Superstars V8 Racing,2009,Milestone srl,Black Bean Games,Racing
3288,Supreme Commander,2007,Gas Powered Games,THQ,"Real Time Strategy (RTS), Strategy"
3289,Supreme Commander 2,2010,Gas Powered Games,Square Enix,"Real Time Strategy (RTS), Strategy"
3290,Supreme Commander: Forged Alliance,2007,Gas Powered Games,THQ,"Real Time Strategy (RTS), Strategy"
3291,Supreme Ruler 2010,2005,BattleGoat Studios,Strategy First,"Simulator, Strategy"
3292,Supreme Ruler 2020,2008,BattleGoat Studios,Paradox Interactive,"Real Time Strategy (RTS), Strategy"
3293,Supreme Warrior,1994,Digital Pictures,Digital Pictures,Fighting
3294,Surfs Up,2007,Ubisoft Quebec,Ubisoft,"Simulator, Strategy"
3295,Survival Crisis Z,2004,Ska Studios,Ska Studios,Role-playing (RPG)
3296,Survival Project,2003,IO Entertainment,"Happy Digi, HanbitSoft, et al.","Simulator, Strategy"
3297,Survival: The Ultimate Challenge,2001,Techland Software,Activision Value,"Simulator, Strategy"
3298,Suzuki Alstare Extreme Racing,1999,Criterion Games,Ubisoft,"Racing, Sport"
3300,Swamp Buggy Racing,2000,Daylight Productions,WizardWorks,Racing
3301,Swarm,1998,Reflexive Entertainment,Reflexive Entertainment,Shooter
3302,SWAT 3: Close Quarters Battle,1999,Sierra Northwest,Sierra Entertainment,"Shooter, Simulator, Strategy, Tactical"
3303,SWAT 4,2005,Irrational Games,Vivendi Universal Games,"Shooter, Simulator, Strategy, Tactical"
3304,Swing,1997,Software 2000,Software 2000,"Indie, Visual Novel"
3305,Switchball,2007,Atomic Elbow,Sierra On-Line,"Simulator, Indie"
3306,Sword of the Stars,2006,Kerberos Productions,"Paradox Interactive, Lighthouse Interactive","Role-playing (RPG), Strategy, Tactical, Indie"
3307,Sword of the Stars: Born of Blood,2007,Kerberos Productions,"Paradox Interactive, Lighthouse Interactive","Strategy, Turn-based strategy (TBS), Tactical"
3308,Syberia,2002,Microids,"Microids, 1C Company, The Adventure Company, Typhoon Games",Adventure
3309,Syberia II,2004,MC2-Microids,"XS Games, LLC","Puzzle, Adventure"
3310,Syberia III,2010,Microids,Microids,Adventure
3311,Sydney 2000,2000,Attention to Detail,Eidos Interactive,Sport
3312,"Sydney Mystery, The",2003,Twilight Software,Twilight Software,Adventure
3313,Symbiocom,1998,Istvan Pely Productions,Bethesda Softworks,"Puzzle, Adventure"
3315,System Shock: Enhanced Edition,2015,"Looking Glass Studios, Night Dive Studios",Night Dive Studios,"Shooter, Role-playing (RPG), Adventure"
3316,System Shock 2,1999,"Irrational Games, Looking Glass Studios",Electronic Arts,"Shooter, Role-playing (RPG)"
3317,Tabloid Tycoon,2005,ValuSoft,"ValuSoft, Global Software Publishing","Simulator, Strategy"
3318,Tabula Rasa,2007,Destination Games,NCsoft,"Platform, Visual Novel"
3319,Tachyon: The Fringe,2000,NovaLogic,NovaLogic,"Shooter, Simulator"
3320,Tactical Ops: Assault on Terror,1999,Kamehan Studios,Infogrames,Shooter
3321,Taito Legends,2005,Taito,"Empire Interactive, Sega","Shooter, Platform, Arcade"
3322,Taito Legends 2,2007,Taito,"Empire Interactive, Destineer","Fighting, Shooter, Puzzle, Racing, Role-playing (RPG), Simulator, Sport, Strategy, Adventure, Arcade"
3323,Take No Prisoners,1997,Raven Software,Red Orb Entertainment,Shooter
3324,Takeda,2001,Magitech,"Xicat Interactive, Inc.","""Hack and slash/Beat em up"", Arcade"
3325,A Tale in the Desert,2003,eGenesis,eGenesis,"Point-and-click, Role-playing (RPG)"
3326,A Tale of Two Kingdoms,2007,Crystal Shard,Crystal Shard,"Point-and-click, Adventure, Indie"
3327,Tales of Eternia Online,2006,"Namco, Dwango","Namco, Dwango",Role-playing (RPG)
3328,Tales of Monkey Island,2009,Telltale Games,Telltale Games,"Point-and-click, Adventure"
3329,Talvisota: Icy Hell,2007,Blitzfront Game Studio,"Nival Interactive, Blitzfront Game Studio","Real Time Strategy (RTS), Strategy"
3330,Tank Universal,2008,Dialogue Design,Meridian4,"Shooter, Simulator, Indie"
3331,Taptiles,2012,Arkadium,Microsoft Studios,Puzzle
3332,Tarr Chronicles,2007,Quazar Studio,"Paradox Interactive, Akella, cdv Software",Simulator
3333,Tasogare,2001,Leaf,Aquaplus,Role-playing (RPG)
3334,Tasty Blue,2015,Dingo Games,Dingo Games,"Adventure, Indie, Arcade"
3336,Team Fortress 2,2007,Valve,Valve,Shooter
3337,Team Fortress Classic,1999,Valve,Sierra Entertainment,Shooter
3338,Team Sonic Racing,2019,Sumo Digital,Sega,"Racing, Arcade"
3339,Teenage Mutant Ninja Turtles,2003,Konami,Konami,"""Hack and slash/Beat em up"""
3340,Teenage Mutant Ninja Turtles 2: Battle Nexus,2004,Konami,Konami,"Racing, ""Hack and slash/Beat em up"""
3342,Tempest 2000,1994,"Atari, Llamasoft",Atari,"Shooter, Arcade"
3343,"Temple of Elemental Evil, The",2003,Troika Games,Atari,"Role-playing (RPG), Strategy"
3344,Ten Desires,2011,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
3345,Ten Pin Alley,1996,Adrenalin Entertainment,ASC Games,Sport
3346,Terminator 3: War of the Machines,2004,Clevers Games,Atari,Shooter
3347,Terminator Salvation,2009,GRIN,Equity Games,"Shooter, Arcade"
3348,Terminus,2000,Vicarious Visions,Vatical Entertainment LLC,Indie
3349,TerraFire,2000,ORT Software,ORT Software,"Shooter, Arcade"
3350,Terraria,2011,Re-Logic,Re-Logic,"Platform, Role-playing (RPG), Simulator, Strategy, Adventure, Indie"
3351,Test Drive,2002,Pitbull Syndicate,Infogrames,"Racing, Simulator, Sport"
3352,Test Drive 5,1998,Pitbull Syndicate,Accolade,Racing
3353,Test Drive 6,1999,Pitbull Syndicate,Infogrames North AmericaCryo Interactive,"Racing, Simulator, Sport"
3354,Test Drive Off-Road,1997,Elite Systems,AccoladeEidos Interactive,Racing
3355,Test Drive Off-Road 2,1998,Accolade,Accolade,Racing
3356,Test Drive Off-Road 3,1999,Infogrames North America,Infogrames North America,Racing
3357,Test Drive Unlimited,2006,Eden Games,Atari,Racing
3358,Test Drive Unlimited 2,2011,Eden Games,Atari,Racing
3360,Tetris Worlds,2001,"Radical Entertainment, Blue Planet Software, 3d6 Games",THQ,"Sport, Arcade"
3361,Tex Murphy: Overseer,1998,Access Software,Access Software,Adventure
3362,Theatre of War,2007,1C Company,Battlefront.com,"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy"
3363,theHunter,2009,Avalanche Studios,Emote Games,Simulator
3364,Theme Hospital,1997,Bullfrog Productions,Electronic Arts,"Real Time Strategy (RTS), Simulator, Strategy"
3365,Theme Park Inc,2001,"Bullfrog Productions, Climax Group",Electronic Arts,"Simulator, Strategy"
3366,Theme Park World,1999,Bullfrog Productions,Electronic Arts,"Simulator, Strategy"
3367,They Hunger,1999,Black Widow Games,PC Gamer,"Shooter, Adventure, Indie"
3368,The Fairyland Story,1997,Tokai Communications,Hasbro Interactive,"Platform, Arcade"
3369,Thief: Deadly Shadows,2004,Ion Storm,Eidos Interactive,Shooter
3370,Thief: The Dark Project,1998,Looking Glass Studios,Eidos Interactive,"Shooter, Simulator, Adventure"
3371,Thief II: The Metal Age,2000,Looking Glass Studios,Eidos Interactive,"Shooter, Simulator, Adventure"
3372,The Thing,2002,Computer Artworks,"Black Label Games, Konami",Platform
3373,Thorgal: Curse of Atlantis,2002,Cryo Interactive Entertainment,Le Lombard,Adventure
3374,Three Cards to Midnight,2009,Big Finish Games,Big Finish Games,Adventure
3375,Three Kingdoms: Fate of the Dragon,2001,Overmax Studios,Eidos Interactive,"Real Time Strategy (RTS), Strategy"
3376,Three Lions,1998,Z-Axis,BMG Interactive,Sport
3377,The Three Musketeers,2005,Legendo Entertainment,Legendo Entertainment,Adventure
3378,Thrillville: Off the Rails,2007,Frontier Developments,LucasArts,"Racing, Simulator, Strategy, Adventure"
3379,Throne of Darkness,2001,Click Entertainment,Sierra Studios,"Point-and-click, Adventure"
3380,Through the Woods,2016,Antagonist,1C Publishing EU,Adventure
3381,Thunder Truck Rally,1997,Reflections,Psygnosis,"Racing, Sport"
3382,Tibia,1997,CipSoft GmbH,CipSoft GmbH,Role-playing (RPG)
3383,Tiger Woods PGA Tour 2005,2004,EA Sports,EA Games,Sport
3384,Tiger Woods PGA Tour 06,2005,EA Sports,EA Games,Sport
3385,Tiger Woods PGA Tour 07,2006,EA Sports,EA Games,Sport
3386,Tiger Woods PGA Tour 08,2007,EA Tiburon,EA Sports,"Simulator, Sport"
3387,Time Commando,1996,Adeline Software International,"Electronic Arts, Activision","Fighting, Adventure, Arcade"
3388,Timelapse,1996,GTE Interactive Media,GTE Interactive Media,"Point-and-click, Adventure"
3389,Timeline,2000,Timeline Computer Entertainment,Eidos Interactive,"Strategy, Indie"
3390,TimeShift,2007,Saber Interactive,Vivendi Games,"Indie, Arcade"
3391,Timon & Pumbaas Jungle Games,1995,7th Level,Disney Interactive,Arcade
3392,Tintin: Destination Adventure,2001,Destination Software,Infogrames,"Racing, Adventure"
3393,Tintin in Tibet,1996,Infogrames,Infogrames,"Platform, Adventure"
3394,Tiny Brains,2013,Spearhead Games,505 Games,"Platform, Puzzle, Adventure, Indie"
3395,Tiny Toon Adventures: Buster and the Beanstalk,1996,Terraglyph Interactive,Terraglyph Interactive,Point-and-click
3396,TiQal,2008,Slapdash Games,Microsoft Game Studios,Puzzle
3397,Titan Quest,2006,Iron Lore Entertainment,THQ,"Role-playing (RPG), ""Hack and slash/Beat em up"""
3398,Titan Quest: Immortal Throne,2007,Iron Lore Entertainment,THQ,"Role-playing (RPG), ""Hack and slash/Beat em up"""
3399,Titanic: Adventure Out of Time,1996,Cyberflix,"GTE Entertainment, Europress","Point-and-click, Puzzle, Simulator, Strategy, Adventure"
3400,TMNT,2007,Ubisoft Montreal,Ubisoft,"""Hack and slash/Beat em up"", Arcade"
3401,TOCA Race Driver 3,2006,Codemasters,Codemasters,"Racing, Sport"
3402,ToeJam & Earl: Back in the Groove,2019,HumaNature Studios,Adult Swim Games,"Music, Adventure, Indie"
3403,Togainu no Chi,2005,Nitro+chiral,Nitro+chiral,"Adventure, Visual Novel"
3404,Tokimeki Memorial,1997,Konami,Konami,"Simulator, Visual Novel"
3405,Tom Clancys EndWar,2008,Ubisoft Shanghai,Ubisoft,"Role-playing (RPG), Strategy"
3406,Tom Clancys Ghost Recon,2001,Red Storm Entertainment,Ubisoft,"Shooter, Tactical, Adventure"
3407,Tom Clancys Ghost Recon Advanced Warfighter,2006,Ubisoft Paris,Ubisoft,Shooter
3408,Tom Clancys Ghost Recon Advanced Warfighter 2,2007,Red Storm Entertainment,Ubisoft,Shooter
3409,Tom Clancys Ghost Recon: Island Thunder,2003,Red Storm Entertainment,Ubisoft,"Shooter, Simulator, Strategy, Tactical"
3410,Tom Clancys H.A.W.X,2009,Ubisoft Bucharest,Ubisoft,"Simulator, Adventure"
3411,Tom Clancys Politika,1997,Red Storm Entertainment,Red Storm Entertainment,Strategy
3412,Tom Clancys Rainbow Six,1998,Red Storm Entertainment,Red Storm Entertainment,"Shooter, Tactical"
3413,Tom Clancys Rainbow Six 3: Raven Shield,2003,"Ubisoft Montreal, Red Storm Entertainment",Ubisoft,"Shooter, Simulator, Tactical"
3414,Tom Clancys Rainbow Six: Lockdown,2005,Red Storm Entertainment,Ubisoft,"Shooter, Tactical"
3415,Tom Clancys Rainbow Six: Rogue Spear,1999,Red Storm Entertainment,Red Storm Entertainment,"Shooter, Simulator"
3416,Tom Clancys Rainbow Six: Take-Down – Missions in Korea,2001,Ubisoft,Kama Digital Entertainment,"Shooter, Tactical"
3417,Tom Clancys Rainbow Six: Vegas,2006,Ubisoft Montreal,Ubisoft,"Shooter, Strategy, Tactical"
3418,Tom Clancys Rainbow Six: Vegas 2,2008,Ubisoft Montreal,Ubisoft,"Shooter, Strategy, Tactical"
3419,Tom Clancys ruthless.com,1998,Red Storm Entertainment,Red Storm Entertainment,"Strategy, Turn-based strategy (TBS)"
3420,Tom Clancys Splinter Cell,2002,Ubisoft Montreal,"Ubisoft, Aspyr Media","Shooter, Tactical"
3421,Tom Clancys Splinter Cell: Chaos Theory,2005,"Ubisoft Montreal, Ubisoft Annecy",Ubisoft,"Shooter, Adventure"
3422,Tom Clancys Splinter Cell: Conviction,2010,Ubisoft Montreal,Ubisoft,"Shooter, Adventure"
3423,Tom Clancys Splinter Cell: Double Agent,2006,"Ubisoft Shanghai, Ubisoft Montreal, Ubisoft Annecy, Ubisoft Milan",Ubisoft,"Shooter, Tactical"
3424,Tom Clancys Splinter Cell: Pandora Tomorrow,2004,"Ubisoft Shanghai, Ubisoft Annecy, Babaroga",Ubisoft,"Shooter, Adventure"
3425,Tom Clancys SSN,1996,Clancy Interactive Entertainment,Simon & Schuster Interactive,Simulator
3426,Tomb Raider Gold,1998,Core Design,Eidos Interactive,Adventure
3427,Tomb Raider II,1997,Core Design,Eidos Interactive,"Platform, Puzzle, Adventure"
3428,Tomb Raider III,1998,Core Design,Eidos Interactive,Adventure
3429,Tomb Raider: The Last Revelation,1999,Core Design,Eidos Interactive,"Shooter, Puzzle, Adventure"
3430,Tomb Raider Chronicles,2000,Core Design,Eidos Interactive,"Shooter, Adventure"
3431,Tomb Raider: The Angel of Darkness,2003,Core Design,Eidos Interactive,"Shooter, Adventure"
3432,Tomb Raider: Legend,2006,"Crystal Dynamics, Nixxes, Buzz Monkey Software, Human Soft, Fathammer",Eidos Interactive,"Shooter, Platform, Adventure"
3433,Tomb Raider: Anniversary,2007,Crystal Dynamics,Eidos Interactive,"Shooter, Platform, Adventure"
3434,Tomb Raider: Underworld,2008,Crystal Dynamics,Eidos Interactive,Adventure
3435,Tomb Raider,2013,Crystal Dynamics,Square Enix,"Shooter, Adventure"
3436,Tonic Trouble,1999,Ubisoft Montreal,Ubisoft,"Platform, Adventure"
3437,Tony Hawks American Wasteland,2005,Neversoft,"Activision, Aspyr",Sport
3438,Tony Hawks Pro Skater 2,2000,Neversoft,Activision,"Simulator, Sport"
3439,Tony Hawks Pro Skater 3,2001,Neversoft,Activision,Sport
3440,Tony Hawks Pro Skater 4,2002,"Neversoft, Vicarious Visions, Babaroga",Activision,Sport
3441,Tony Hawks Underground 2,2004,"Neversoft, Shaba Games",Activision,Sport
3442,Tony La Russa Baseball 4,1997,Stormfront Studios,Maxis,"Simulator, Sport"
3443,Toonstruck,1996,Burst Studios,Virgin Interactive Entertainment,"Point-and-click, Adventure"
3444,Toontown Online,2003,Walt Disney Internet Group,The Walt Disney Company,Role-playing (RPG)
3445,Top Gun,2010,Doublesix,Paramount Digital Entertainment,Simulator
3446,Top Gun: Combat Zones,2003,Digital Integration,Virgin Interactive,"Shooter, Simulator"
3447,Top Gun: Fire At Will,1996,Spectrum Holobyte,MicroProse,"Shooter, Simulator"
3448,Top Gun: Hornets Nest,1998,Zipper Interactive,MicroProse,Simulator
3449,Top Spin,2003,PAM Development,Atari,"Simulator, Adventure, Indie"
3450,Top Spin 2,2006,Indie Built,2K Sports,"Simulator, Sport"
3451,Top Trumps Adventures: Horror and Predators,2007,"SoGoplay, Ironstone Partners",Ubisoft,Turn-based strategy (TBS)
3452,Top Trumps: Doctor Who,2008,Ironstone Partners,Eidos Interactive,"Puzzle, Turn-based strategy (TBS)"
3453,Torchlight,2009,Runic Games,Runic Games,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
3454,Torins Passage,1995,Sierra On-Line,Sierra On-Line,Adventure
3455,Total Annihilation,1997,Cavedog Entertainment,GT Interactive,"Real Time Strategy (RTS), Strategy"
3456,Total Annihilation: Battle Tactics,1998,Cavedog Entertainment,GT Interactive,Strategy
3457,Total Annihilation: Kingdoms,1999,Cavedog Entertainment,Cavedog Entertainment,"Real Time Strategy (RTS), Strategy"
3458,Total Annihilation: The Core Contingency,1998,Cavedog Entertainment,GT Interactive,"Real Time Strategy (RTS), Strategy"
3459,Total Club Manager 2003,2002,Electronic Arts,Electronic Arts,"Simulator, Sport, Strategy"
3460,Total Club Manager 2004,2003,Electronic Arts,Electronic Arts,"Simulator, Sport"
3461,Total Club Manager 2005,2004,EA Canada,Electronic Arts,"Simulator, Sport"
3462,Total Immersion Racing,2002,Razorworks,Empire Interactive,"Racing, Simulator"
3463,Total Overdose,2005,Deadline Games,"Sci Entertainment, Eidos","Shooter, Adventure"
3464,Totems,2008,10tacle Studios Belgium,10tacle Studios,"Role-playing (RPG), Adventure, Indie"
3465,Tower of Guns,2014,Terrible Posture Games,Terrible Posture Games,Indie
3466,Toxic Bunny,1996,Celestial Games,Vision Software,"Platform, Adventure, Indie"
3467,Toy Golf,2005,Ninai Games,Zoo Digital Publishing,Sport
3468,Toy Story,1996,Travellers Tales,Disney Interactive,"Platform, Adventure"
3469,Toy Story 2: Buzz Lightyear to the Rescue,1999,Travellers Tales,Activision,Platform
3470,Toy Story 3: The Video Game,2010,Avalanche Software,Disney Interactive Studios,"Platform, Adventure"
3471,TrackMania,2003,Nadeo,"Digital Jesters, Focus, Enlight, Buka, Valve",Racing
3472,TrackMania Sunrise,2005,Nadeo,"Digital Jesters, Focus Home Interactive, Enlight",Racing
3473,Trade Empires,2001,Frog City Software,Take-Two Interactive,Strategy
3474,TradeWars 2002,1999,"Epic Interactive Strategy, Martech Software","Epic Interactive Strategy, Martech Software",Role-playing (RPG)
3475,Traffic Giant,2001,JoWooD Productions,"JoWooD Productions, Macmillan Software","Simulator, Strategy"
3476,Trailer Park Tycoon,2002,Jaleco Entertainment,Jaleco Entertainment,Strategy
3477,tranquility,2001,William A. Romanowski,"TQworld, LLC.","Role-playing (RPG), Simulator"
3478,Transformers: Revenge of the Fallen,2009,Beenox Studios,Activision,"Shooter, Adventure"
3479,Transformers: The Game,2007,Travellers Tales,Activision,"""Hack and slash/Beat em up"""
3480,Trash,2005,Inhuman Games,Inhuman Games,Arcade
3481,Tread Marks,2000,Longbow Digital Arts,Longbow Digital Arts,Racing
3482,Treasure Cove!,1997,The Learning Company,The Learning Company,Adventure
3483,Treasure in the Royal Tower,2001,Her Interactive,DreamCatcher,Adventure
3484,Treasure Planet: Battle at Procyon,2002,Barking Dog Studios,Disney Interactive,"Strategy, Adventure"
3485,Treasure Quest,1996,Sirius Entertainment,Sirius Publishing,"Point-and-click, Puzzle, Adventure"
3487,Trespasser,1998,DreamWorks Interactive,Electronic Arts,"Role-playing (RPG), Tactical, Adventure"
3488,Trial by Magic,1995,Silver Lightning Software,Merit Studios,"Role-playing (RPG), Strategy"
3489,Trials 2: Second Edition,2008,RedLynx,RedLynx,"Platform, Racing, Sport, Indie"
3490,Trials Rising,2019,"RedLynx, Ubisoft Kyiv",Ubisoft,"Racing, Sport"
3491,Tribes: Ascend,2012,Hi-Rez Studios,Hi-Rez Studios,"Shooter, Role-playing (RPG), Sport, Adventure"
3492,Tribes: Vengeance,2004,Irrational Games,Sierra Entertainment,"Shooter, Sport"
3493,Tribes 2,2001,Dynamix,Sierra On-Line,Strategy
3494,TrickStyle,1999,Criterion Games,Acclaim Entertainment,"Racing, Sport"
3495,Trine,2009,Frozenbyte,"Nobilis, SouthPeak Games","Platform, Puzzle, Adventure, Indie"
3496,Triplane Turmoil II,2006,Draconus Entertainment,Draconus Entertainment,Arcade
3497,Triple Play 2000,1999,Treyarch,Electronic Arts,"Simulator, Sport"
3498,Triple Play 97,1996,Electronic Arts Canada,Electronic Arts,"Simulator, Sport"
3499,Triple Play 99,1998,EA Sports,EA Sports,Sport
3500,Trivial Pursuit: Unhinged,2004,Artech Studios,Atari,"Strategy, Quiz/Trivia"
3501,Tron 2.0,2003,Monolith Productions,Buena Vista Interactive,"Shooter, Racing, Role-playing (RPG)"
3502,Tropico,2001,PopTop Software,Gathering of Developers,"Simulator, Strategy"
3503,Tropico 2: Pirate Cove,2003,Frog City Software,"Gathering of Developers, Take-Two Interactive","Simulator, Strategy"
3504,Tropico 3,2009,Haemimont Games,Kalypso Media,"Simulator, Strategy"
3505,Tropico: Paradise Island,2002,BreakAway Games,Take-Two Interactive,"Simulator, Strategy"
3506,True Crime: New York City,2005,Luxoflux,Activision,"Shooter, Adventure"
3507,True Crime: Streets of LA,2003,Luxoflux,Activision,"Fighting, Shooter, Racing, Adventure"
3508,True Love,1995,Software House Parsley,"CD Brothers, Otaku Publishing Ltd.","Simulator, Strategy"
3509,True Remembrance,2006,Shiba Satomi,insani,Visual Novel
3510,The Truth About 9th Company,2008,"Extreme Developers, Kranx Productions",1C Company,Shooter
3511,TubeTwist,2006,21-6 Productions,GarageGames,"Puzzle, Strategy"
3512,Tuneland,1994,7th Level,7th Level,Adventure
3513,Turning Point: Fall of Liberty,2008,Spark Unlimited,Codemasters,Shooter
3514,Turok: Dinosaur Hunter,1997,Iguana Entertainment,Acclaim Entertainment,"Shooter, Adventure"
3515,Turok 2: Seeds of Evil,1998,Iguana Entertainment,Acclaim Entertainment,"Shooter, Adventure"
3516,Turok: Evolution,2003,Super Happy Fun Fun,Acclaim Entertainment,"Shooter, Adventure"
3517,Turok,2008,Propaganda Games,Disney Interactive Studios,"Shooter, Platform, Adventure"
3518,Tux Racer,2000,Jasmin Patry,Sunspire Studios,Racing
3519,Twelve Sky,2007,Alt1,"Alt1, Aeria Games and Entertainment",Role-playing (RPG)
3520,Twinsens Odyssey,1997,Adeline Software International,Activision,"Platform, Puzzle, Role-playing (RPG), Adventure"
3521,Twisted Metal,1996,"Sony Interactive Studios America, SingleTrac",Sony Music Entertainment Japan,"Shooter, Racing"
3522,Twisted Metal 2,1996,"Sony Interactive Studios America, SingleTrac",Sony Interactive Studios America,"Fighting, Shooter, Racing"
3523,Two Thrones,2004,Paradox Entertainment,Strategy First,"Platform, Puzzle, Adventure"
3524,Tycoon City: New York,2006,Deep Red Games,Atari,"Simulator, Strategy"
3525,Typer Shark!,2003,PopCap Games,PopCap Games,Adventure
3526,The Typing of the Dead,1999,"WOW Entertainment, Smilebit",Sega,Shooter
3527,The Typing of the Dead 2,2007,Smilebit,Sega,Shooter
3528,ÜberSoldier,2006,Burut,CDV Software,Shooter
3529,UEFA Euro 2000,2000,EA Canada,EA Sports,Sport
3530,UEFA Euro 2004,2004,EA Canada,EA Sports,Sport
3531,UEFA Euro 2008,2008,"EA Canada, HB Studios",EA Sports,"Simulator, Sport"
3532,UEFA Euro 2012,2012,EA Canada,EA Sports,Sport
3533,UFO: Afterlight,2007,Altar Games,Cenega,"Real Time Strategy (RTS), Strategy, Indie"
3534,UFO: Aftermath,2003,ALTAR Interactive,Cenega,Strategy
3535,UFO: Aftershock,2005,Altar Interactive,Cenega,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
3536,UFO: Extraterrestrials,2007,Chaos Concept,Tri Synergy,Strategy
3537,U.F.O.s,1997,Artech Digital Entertainment,"Corel Corporation, Hoffmann + Associates",Shooter
3538,Ultima IX: Ascension,1999,Origin Systems,Electronic Arts,"Role-playing (RPG), Adventure"
3539,Ultima Online,1997,"Origin Systems, Electronic Arts",Electronic Arts,Role-playing (RPG)
3540,Ultima Online: Age of Shadows,2003,Origin Systems,Electronic Arts,Role-playing (RPG)
3541,Ultima Online: Samurai Empire,2004,Electronic Arts,Electronic Arts,Role-playing (RPG)
3542,Ultima Online: The Second Age,1998,Origin Systems,Electronic Arts,Role-playing (RPG)
3543,Ultimate Duck Hunting,2006,Mid Carolina Media,Mid Carolina Media,"Shooter, Simulator, Sport"
3544,Ultimate Spider-Man,2005,"Treyarch, Beenox, Vicarious Visions",Activision,Adventure
3545,Uncharted Waters Online,2004,"KOEI, Delfin","KOEI, CJ Internet, The Foreseen Group","Role-playing (RPG), Simulator, Strategy, Adventure"
3546,Uncle Henrys Playhouse,1996,Trilobyte,Trilobyte,"Puzzle, Strategy"
3547,Undefined Fantastic Object,2009,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
3548,Under Ash,2001,Dar al-Fikr,Dar al-Fikr,"Role-playing (RPG), Adventure, Indie"
3549,Under Siege,2005,Afkar Media,Dar al-Fikr,Shooter
3550,Underlight,1998,Lyra Studios,Lyra Studios,Role-playing (RPG)
3551,Undertale,2015,Toby Fox,Toby Fox,Indie
3552,Universal Combat,2004,Derek Smart,3000AD,"Simulator, Strategy, Indie"
3553,Universe at War: Earth Assault,2007,Petroglyph Games,Sega,"Real Time Strategy (RTS), Strategy"
3554,Unreal,1998,"Epic Games, Digital Extremes",GT Interactive,"Shooter, Platform"
3555,Unreal II: The Awakening,2003,Legend Entertainment,Infogrames,Shooter
3556,Unreal Tournament,1999,"Epic Games, Digital Extremes",GT Interactive,Shooter
3557,Unreal Tournament 2003,2002,Epic Games,Infogrames,Shooter
3558,Unreal Tournament 2004,2004,Epic Games,Atari,Shooter
3559,Unreal Tournament 3,2007,Epic Games,Midway Games,Shooter
3560,Uplink,2001,Introversion Software,Introversion Software,Shooter
3561,Urban Chaos,1999,Mucky Foot Productions,Eidos Interactive,Shooter
3562,Urban Jungle,2005,Urban Development,"Autoklub Rijeka, Talented Programmers Association of Rijeka",Fighting
3563,Urban Legend in Limbo,2015,"Twilight Frontier, Team Shanghai Alice","Twilight Frontier, Team Shanghai Alice",Fighting
3565,Uru: Ages Beyond Myst,2003,Cyan Worlds,Ubisoft,"Puzzle, Adventure"
3566,V-Rally,1997,Eden Studios,Infogrames,Racing
3567,V-Rally 2,1999,Eden Studios,Infogrames Europe,Racing
3568,V-Rally 3,2002,Eden Studios,Atari,Racing
3569,Valkyria Chronicles 4,2018,Sega,Sega,"Real Time Strategy (RTS), Role-playing (RPG), Strategy, Turn-based strategy (TBS), Adventure"
3570,Valorant,2020,Riot Games,Riot Games,"Platform, Role-playing (RPG), ""Hack and slash/Beat em up"""
3571,Vampire: The Masquerade – Bloodlines,2004,Troika Games,Activision,"Role-playing (RPG), Adventure"
3572,Vampire: The Masquerade – Redemption,2000,Nihilistic Software,Activision,"Role-playing (RPG), Adventure"
3573,Vampire: The Masquerade – Swansong,1999,Reldni Productions,Global Star Software,Role-playing (RPG)
3574,A Vampyre Story,2008,Autumn Moon Entertainment,Crimson Cow,Adventure
3575,Vangers,1998,K-D Lab,"Buka Entertainment, Interactive Magic","Racing, Adventure, Indie"
3576,Vanguard Princess,2009,Sugeno,Sugeno,Indie
3577,Vanguard: Saga of Heroes,2007,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
3578,Vantage Master,1997,Nihon Falcom,Nihon Falcom,Strategy
3579,Vasara HD Collection,2019,Visco Corporation,QUByte Interactive,"Shooter, Indie, Arcade"
3581,Vegas Tycoon,2004,Deep Red Games,Global Star Software,"Simulator, Strategy"
3582,Velvet Assassin,2009,Replay Studios,SouthPeak Games,Shooter
3583,Vendetta Online,2004,Guild Software,Strategy First,"Shooter, Role-playing (RPG), Tactical"
3584,Venetica,2009,Deck13 Interactive,DTP Entertainment,"Role-playing (RPG), Adventure"
3585,Venice,2007,"Retro64, PopCap Games",PopCap Games,"Simulator, Strategy"
3586,Venture Arctic,2007,Pocketwatch Games,"Pocketwatch Games, Brighter Minds Media","Simulator, Strategy, Adventure, Indie"
